timestamp,strategy,n_eligible,n_busy,n_pass_long,n_pass_short,n_score_cut,n_candidates,top_long_blocker,top_long_blocker_n,top_short_blocker,top_short_blocker_n,long_blockers,short_blockers
2026-09-04T19:34:19Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:34:19Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:34:19Z,daytrade,7,5,0,0,0,0,range_pos<,3,ret_30m>,7,range_pos<=3;ret_30m<=3;rsi14>=1,ret_30m>=7
2026-09-04T19:34:19Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:35:27Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:35:27Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:35:27Z,daytrade,7,5,0,0,0,0,range_pos<,3,ret_30m>,6,range_pos<=3;ret_30m<=3;rsi14>=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:35:27Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:37:33Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:37:33Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:37:33Z,daytrade,7,5,0,0,0,0,ret_30m<,5,ret_30m>,6,ret_30m<=5;rsi14>=1;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:37:33Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:38:45Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:38:45Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:38:45Z,daytrade,7,5,0,0,0,0,ret_30m<,5,ret_30m>,6,ret_30m<=5;rsi14>=1;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:38:45Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:39:48Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:39:48Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:39:48Z,daytrade,7,5,0,0,0,0,ret_30m<,5,ret_30m>,6,ret_30m<=5;rsi14>=1;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:39:48Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:41:02Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:41:02Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:41:02Z,daytrade,7,5,0,0,0,0,ret_30m<,5,ret_30m>,6,ret_30m<=5;rsi14>=1;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:41:02Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:42:04Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:42:04Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:42:04Z,daytrade,7,5,0,0,0,0,ret_30m<,5,ret_30m>,6,ret_30m<=5;rsi14>=1;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:42:04Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:43:21Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:43:21Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:43:21Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:43:21Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:44:37Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:44:37Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:44:37Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:44:37Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:45:43Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:45:43Z,longshort,15,6,1,0,0,1,pc_24h<,10,pc_1h>,15,pc_24h<=10;pc_1h<=4,pc_1h>=15
2026-09-04T19:45:43Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:45:43Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
