timestamp,coins,breadth_up_pct_1h,median_1h,p10_1h,p90_1h
2026-09-03T05:25:38Z,12,0.0,-0.356,-0.667,-0.086
2026-09-03T05:30:38Z,12,0.0,-0.328,-0.649,-0.186
2026-09-03T05:35:38Z,12,25.0,-0.097,-0.435,0.182
2026-09-03T05:40:38Z,12,58.3,0.016,-0.205,0.515
2026-09-03T05:45:38Z,12,66.7,0.137,-0.102,0.683
2026-09-03T05:50:38Z,12,58.3,0.101,-0.171,0.253
2026-09-03T05:55:38Z,12,33.3,-0.067,-0.187,0.071
2026-09-03T06:00:38Z,12,33.3,-0.038,-0.354,0.118
2026-09-03T06:05:38Z,12,25.0,-0.175,-0.598,0.129
2026-09-03T06:10:38Z,12,50.0,0.003,-0.323,0.16
2026-09-03T06:15:38Z,12,58.3,0.08,-0.258,0.258
2026-09-03T06:20:38Z,12,83.3,0.319,-0.018,0.631
2026-09-03T06:25:38Z,12,100.0,0.769,0.4,1.293
2026-09-03T06:30:38Z,12,100.0,0.838,0.671,1.13
2026-09-03T06:35:38Z,12,100.0,0.583,0.376,0.77
2026-09-03T06:40:38Z,12,91.7,0.404,0.078,0.595
2026-09-03T06:45:38Z,12,91.7,0.351,0.109,0.561
2026-09-03T06:50:38Z,12,91.7,0.351,0.07,0.559
2026-09-03T06:55:38Z,12,66.7,0.136,-0.393,0.403
2026-09-03T07:00:38Z,12,50.0,0.002,-0.511,0.352
2026-09-03T07:05:38Z,12,100.0,0.439,0.096,0.594
2026-09-03T07:10:38Z,12,100.0,0.451,0.106,0.496
2026-09-03T07:15:38Z,12,100.0,0.466,0.061,0.587
2026-09-03T07:20:38Z,12,83.3,0.259,-0.079,0.37
2026-09-03T07:25:38Z,12,66.7,0.171,-0.137,0.299
2026-09-03T07:30:38Z,12,66.7,0.167,-0.085,0.374
2026-09-03T07:35:38Z,12,58.3,0.104,-0.125,0.387
2026-09-03T07:40:38Z,12,66.7,0.211,-0.046,0.57
2026-09-03T07:45:38Z,12,58.3,0.093,-0.143,0.348
2026-09-03T07:50:38Z,12,33.3,-0.082,-0.414,0.063
2026-09-03T07:55:38Z,12,16.7,-0.147,-0.49,0.026
2026-09-03T08:00:38Z,12,33.3,-0.09,-0.403,0.123
2026-09-03T08:05:38Z,12,25.0,-0.29,-0.505,0.151
2026-09-03T08:10:38Z,12,33.3,-0.088,-0.258,0.316
2026-09-03T08:15:38Z,12,33.3,-0.099,-0.325,0.421
2026-09-03T08:20:38Z,12,50.0,0.023,-0.275,0.495
2026-09-03T08:25:38Z,12,50.0,0.056,-0.272,0.608
2026-09-03T08:30:38Z,12,58.3,0.073,-0.12,0.699
2026-09-03T08:35:38Z,12,75.0,0.058,-0.022,0.741
2026-09-03T08:40:38Z,12,41.7,-0.011,-0.241,0.597
2026-09-03T08:45:38Z,12,33.3,-0.044,-0.285,0.464
2026-09-03T08:50:38Z,12,83.3,0.231,-0.175,0.533
2026-09-03T08:55:38Z,12,100.0,0.232,0.119,0.579
2026-09-03T09:00:38Z,12,83.3,0.227,-0.028,0.462
2026-09-03T09:05:38Z,12,25.0,-0.121,-0.266,0.23
2026-09-03T09:10:38Z,12,25.0,-0.146,-0.232,0.211
2026-09-03T09:15:38Z,12,33.3,-0.051,-0.227,0.113
2026-09-03T09:20:38Z,12,25.0,-0.08,-0.285,0.1
2026-09-03T09:25:38Z,12,33.3,-0.033,-0.156,0.187
2026-09-03T09:30:38Z,12,8.3,-0.327,-0.492,-0.114
2026-09-03T09:35:38Z,12,16.7,-0.304,-0.48,0.046
2026-09-03T09:40:38Z,12,16.7,-0.363,-0.524,0.171
2026-09-03T09:45:38Z,12,33.3,-0.303,-0.451,0.187
2026-09-03T09:50:38Z,12,25.0,-0.354,-0.539,0.067
2026-09-03T09:55:38Z,12,25.0,-0.312,-0.57,0.044
2026-09-03T10:00:38Z,12,16.7,-0.307,-0.552,0.056
2026-09-03T10:05:38Z,12,25.0,-0.232,-0.413,0.182
2026-09-03T10:10:38Z,12,25.0,-0.356,-0.626,0.082
2026-09-03T10:15:38Z,12,8.3,-0.513,-0.684,-0.046
2026-09-03T10:20:38Z,12,25.0,-0.306,-0.432,0.141
2026-09-03T10:25:38Z,12,33.3,-0.239,-0.324,0.166
2026-09-03T10:30:38Z,12,33.3,-0.176,-0.341,0.183
2026-09-03T10:35:38Z,12,33.3,-0.204,-0.586,0.089
2026-09-03T10:40:38Z,12,16.7,-0.259,-0.68,0.087
2026-09-03T10:45:38Z,12,16.7,-0.289,-0.793,0.082
2026-09-03T10:50:38Z,12,33.3,-0.137,-0.457,0.159
2026-09-03T10:55:38Z,12,75.0,0.109,-0.159,0.448
2026-09-03T11:00:38Z,12,91.7,0.294,0.12,0.608
2026-09-03T11:05:38Z,12,91.7,0.32,0.133,0.401
2026-09-03T11:10:38Z,12,100.0,0.398,0.205,0.519
2026-09-03T11:15:38Z,12,100.0,0.456,0.298,0.674
2026-09-03T11:20:38Z,12,100.0,0.545,0.249,0.826
2026-09-03T11:25:38Z,12,100.0,0.341,0.121,0.735
2026-09-03T11:30:38Z,12,100.0,0.58,0.254,1.258
2026-09-03T11:35:38Z,12,100.0,0.776,0.47,1.478
2026-09-03T11:40:38Z,12,100.0,0.802,0.521,1.47
2026-09-03T11:45:38Z,12,100.0,0.915,0.555,1.519
2026-09-03T11:50:38Z,12,91.7,0.775,0.425,1.546
2026-09-03T11:55:38Z,12,91.7,0.534,0.142,0.995
2026-09-03T12:00:38Z,12,83.3,0.447,-0.115,0.942
2026-09-03T12:05:38Z,12,75.0,0.399,-0.102,0.808
2026-09-03T12:10:38Z,12,75.0,0.262,-0.14,0.885
2026-09-03T12:15:38Z,12,83.3,0.42,-0.064,0.677
2026-09-03T12:20:38Z,12,75.0,0.163,-0.067,0.28
2026-09-03T12:25:38Z,12,83.3,0.277,-0.069,0.422
2026-09-03T12:30:38Z,12,75.0,0.119,-0.102,0.185
2026-09-03T12:35:38Z,12,83.3,0.341,-0.015,0.486
2026-09-03T12:40:38Z,12,83.3,0.498,-0.044,0.577
2026-09-03T12:45:38Z,12,75.0,0.271,-0.036,0.47
2026-09-03T12:50:38Z,12,100.0,0.467,0.027,0.801
2026-09-03T12:55:38Z,12,100.0,0.682,0.212,1.066
2026-09-03T13:00:38Z,12,100.0,0.775,0.132,1.022
2026-09-03T13:05:38Z,12,100.0,0.793,0.181,1.04
2026-09-03T13:10:38Z,12,100.0,0.659,0.08,0.963
2026-09-03T13:15:38Z,12,100.0,0.626,0.19,0.974
2026-09-03T13:20:38Z,12,100.0,0.632,0.21,0.966
2026-09-03T13:25:38Z,12,100.0,0.72,0.191,0.912
2026-09-03T13:30:38Z,12,100.0,0.589,0.133,0.982
2026-09-03T13:35:38Z,12,91.7,0.482,0.094,0.879
2026-09-03T13:40:38Z,12,91.7,0.633,0.161,1.159
2026-09-03T13:45:38Z,12,91.7,0.937,0.317,1.673
2026-09-03T13:50:38Z,12,91.7,0.566,0.069,1.174
2026-09-03T13:55:38Z,12,83.3,0.286,-0.18,0.738
2026-09-03T14:00:38Z,12,75.0,0.184,-0.32,0.446
2026-09-03T14:05:38Z,12,75.0,0.241,-0.214,0.573
2026-09-03T14:10:38Z,12,91.7,0.336,0.004,0.89
2026-09-03T14:15:38Z,12,91.7,0.449,0.072,1.165
2026-09-03T14:20:38Z,12,100.0,0.705,0.205,1.382
2026-09-03T14:25:38Z,12,100.0,0.991,0.263,2.042
2026-09-03T14:30:38Z,12,100.0,1.244,0.619,1.552
2026-09-03T14:35:38Z,12,100.0,1.194,0.776,1.595
2026-09-03T14:40:38Z,12,100.0,0.999,0.565,1.509
2026-09-03T14:45:38Z,12,100.0,0.982,0.205,1.366
2026-09-03T14:50:38Z,12,100.0,2.075,1.131,2.588
2026-09-03T14:55:38Z,12,100.0,2.117,1.007,2.578
2026-09-03T15:00:38Z,12,100.0,2.578,1.286,3.625
2026-09-03T15:05:38Z,12,100.0,2.668,1.336,3.749
2026-09-03T15:10:38Z,12,100.0,2.439,0.777,3.253
2026-09-03T15:15:38Z,12,100.0,2.122,0.603,2.77
2026-09-03T15:20:38Z,12,100.0,1.94,0.364,2.435
2026-09-03T15:25:38Z,12,100.0,1.765,0.52,3.271
2026-09-03T15:30:38Z,12,100.0,1.55,0.288,2.823
2026-09-03T15:35:38Z,12,100.0,1.47,0.153,2.937
2026-09-03T15:40:38Z,12,100.0,1.551,0.194,2.949
2026-09-03T15:45:38Z,12,100.0,1.496,0.567,2.334
2026-09-03T15:50:38Z,12,83.3,0.489,-0.075,1.011
2026-09-03T15:55:38Z,12,100.0,1.27,0.349,2.009
2026-09-03T16:00:38Z,12,91.7,1.009,0.163,1.489
2026-09-03T16:05:38Z,12,58.3,0.255,-0.812,1.158
2026-09-03T16:10:38Z,12,66.7,0.446,-0.285,2.893
2026-09-03T16:15:38Z,12,83.3,0.486,-0.074,2.094
2026-09-03T16:20:38Z,12,83.3,0.369,-0.143,1.876
2026-09-03T16:25:38Z,12,58.3,0.481,-0.364,1.917
2026-09-03T16:30:38Z,12,75.0,0.431,-0.257,1.545
2026-09-03T16:35:38Z,12,83.3,0.397,-0.036,2.042
2026-09-03T16:40:38Z,12,66.7,0.19,-0.12,1.563
2026-09-03T16:45:38Z,12,58.3,0.221,-0.159,1.848
2026-09-03T16:50:38Z,12,91.7,0.464,0.163,2.436
2026-09-03T16:55:38Z,12,33.3,-0.223,-0.491,1.056
2026-09-03T17:00:38Z,12,25.0,-0.476,-0.86,0.583
2026-09-03T17:05:38Z,12,83.3,0.567,-0.196,0.72
2026-09-03T17:10:38Z,12,58.3,0.14,-0.285,0.743
2026-09-03T17:15:38Z,12,83.3,0.229,-0.034,0.649
2026-09-03T17:20:38Z,12,91.7,0.373,0.081,0.584
2026-09-03T17:25:38Z,12,83.3,0.269,-0.125,0.704
2026-09-03T17:30:38Z,12,83.3,0.463,-0.021,0.779
2026-09-03T17:35:38Z,12,75.0,0.24,-0.092,0.67
2026-09-03T17:40:38Z,12,83.3,0.379,-0.049,0.807
2026-09-03T17:45:38Z,12,83.3,0.343,-0.074,0.678
2026-09-03T17:50:38Z,12,91.7,0.25,0.024,0.382
2026-09-03T17:55:38Z,12,58.3,0.052,-0.33,0.31
2026-09-03T18:00:38Z,12,58.3,0.161,-0.116,0.582
2026-09-03T18:05:38Z,12,75.0,0.363,-0.108,0.718
2026-09-03T18:10:38Z,12,83.3,0.411,-0.072,0.901
2026-09-03T18:15:38Z,12,66.7,0.284,-0.071,0.771
2026-09-03T18:20:38Z,12,75.0,0.146,-0.103,0.883
2026-09-03T18:25:38Z,12,91.7,0.203,0.019,0.867
2026-09-03T18:30:38Z,12,50.0,0.035,-0.218,0.458
2026-09-03T18:35:38Z,12,25.0,-0.178,-0.361,0.262
2026-09-03T18:40:38Z,12,16.7,-0.182,-0.507,0.135
2026-09-03T18:45:38Z,12,25.0,-0.17,-0.317,0.167
2026-09-03T18:50:38Z,12,33.3,-0.175,-0.646,0.304
2026-09-03T18:55:38Z,12,58.3,0.153,-0.146,0.622
2026-09-03T19:00:38Z,12,66.7,0.122,-0.138,0.595
2026-09-03T19:05:38Z,12,75.0,0.247,-0.418,0.75
2026-09-03T19:10:38Z,12,50.0,0.082,-0.631,0.259
2026-09-03T19:15:38Z,12,41.7,-0.076,-0.824,0.11
2026-09-03T19:20:38Z,12,75.0,0.269,-0.438,0.617
2026-09-03T19:25:38Z,12,83.3,0.552,-0.175,0.793
2026-09-03T19:30:38Z,12,91.7,0.731,0.137,0.872
2026-09-03T19:35:38Z,12,91.7,0.566,0.114,0.932
2026-09-03T19:40:38Z,12,100.0,0.594,0.145,1.671
2026-09-03T19:45:38Z,12,100.0,0.703,0.21,1.749
2026-09-03T19:50:38Z,12,91.7,0.295,0.105,1.033
2026-09-03T19:55:38Z,12,83.3,0.312,-0.025,0.614
2026-09-03T20:00:38Z,12,83.3,0.332,-0.005,0.969
2026-09-03T20:05:38Z,12,66.7,0.139,-0.357,0.796
2026-09-03T20:10:38Z,12,91.7,0.461,0.082,0.861
2026-09-03T20:15:38Z,12,91.7,0.405,0.104,0.671
2026-09-03T20:20:38Z,12,75.0,0.235,-0.215,0.555
2026-09-03T20:25:38Z,12,41.7,-0.124,-0.871,0.312
2026-09-03T20:30:38Z,12,50.0,0.079,-0.216,0.705
2026-09-03T20:35:38Z,12,58.3,0.099,-0.321,0.493
